"participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy","rt"
1,29,"roccia piazza","IMMONTURA","PALCAVERIA",2,"Correct",3582
1,30,"tavolo vaso","FIONCOLIOLO","GRAMINELLO",2,"Correct",3334
1,31,"tavolo albero","PARTONCELLO","CIGOLITELLO",2,"Incorrect",2312
1,32,"finestra scarpa","ERRACIOLINA","CLICCATTOLA",2,"Correct",1670
1,33,"tramonto vaso","NARAMPICOLO","FIORARIOLO",2,"Correct",679
1,34,"albero prato","CERBOSCELLO","SUONISCRIO",1,"Correct",427
1,35,"acqua piazza","POZZETTERIA","IDRACIOLA",2,"Incorrect",1757
1,36,"fazzoletto vaso","FIORINELLO","RAPALINCIO",1,"Correct",2225
1,37,"specchio libro","ARMORICELLO","RABELLIMENTO",2,"Correct",1695
1,38,"specchio tavolo","RABELLIMENTO","SDRANGOLIO",2,"Correct",1482
1,39,"vaso albero","FIORICELLO","SUONANELLO",2,"Incorrect",1798
1,40,"fazzoletto specchio","SGUARELLIO","PICATTOLO",1,"Correct",2725
1,41,"piazza camera","SENDINAIA","CENSARELLINA",2,"Incorrect",2369
1,42,"insalata finestra","GIUBBITINA","CLIETTOLA",2,"Correct",1026
1,43,"scarpa tenda","POZZANELLA","SDRAIATURA",1,"Incorrect",1359
1,44,"finestra torta","POLIETTOLA","VESTOLETTA",2,"Incorrect",2431
1,45,"giacca camera","GIUBBIATINA","PANCOTTELLA",1,"Correct",2500
1,46,"tenda insalata","FRIGLIANZA","GIAPRIATOLA",1,"Correct",3431
1,47,"tenda giacca","IDRANDINA","GIUBBITINA",2,"Correct",2571
1,48,"libro violino","SUONISCRIO","SUONCOLLO",2,"Incorrect",3611
1,49,"vaso martello","GRAMINELLO","ROCCERIOLO",2,"Correct",2372
1,50,"roccia camera","GOCCOTTELLA","ARMONTURIA",1,"Incorrect",1965
1,51,"scarpa acqua","POZZETTERIA","IDRATOLANA",2,"Correct",2049
1,52,"torta insalata","SENDINAIA","FRICOTTELA",2,"Correct",2791
1,53,"roccia tenda","GIUBBIATURA","IMMONTURA",2,"Correct",1956
1,54,"roccia acqua","IDRACIOLA","COTTOLIOLIA",1,"Correct",1704
1,55,"violino prato","SUONANELLO","FIORINELLO",2,"Incorrect",972
1,56,"acqua giacca","MURICATTOLA","LAVESCIA",2,"Correct",1032
1,57,"torta bambola","VESTINETTA","CENSARELLINA",2,"Correct",767
1,58,"prato libro","FIOCOSCRIO","FIOTTINO",2,"Incorrect",1028
1,59,"acqua tenda","IDRANGIA","POZZANELLA",1,"Incorrect",1298
1,60,"giacca torta","CAPPETTELLA","GHIANCIOLA",1,"Correct",672
1,61,"giacca bambola","VESTOLETTA","ARMONTURIA",2,"Incorrect",4930
1,62,"martello libro","SPALENTOLO","PICATTOLO",1,"Incorrect",1709
1,63,"acqua camera","IDRANDINA","GIUBBIATINA",2,"Incorrect",3200
1,64,"acqua finestra","BANCOTTINA","POZZONELLA",1,"Incorrect",1764
1,65,"specchio albero","LUMERSTERSIMO","SRADINELLO",2,"Correct",2563
1,66,"muro specchio","CROIETTOLO","ROCCERIOLO",2,"Incorrect",4321
1,67,"martello prato","RAPALINCIO","SEDINOCCIO",1,"Correct",2691
1,68,"libro vaso","ROSCESCOLO","FIORISITOLO",1,"Incorrect",2430
1,69,"vaso prato","FIONCOLIOLO","SDRANGOLIO",2,"Incorrect",2304
1,70,"piazza insalata","SDRAIATURA","BANCOTTINA",1,"Incorrect",2463
1,71,"giacca finestra","CLIETTONDOLA","PALCAVERIA",1,"Correct",234
1,72,"albero fazzoletto","FIORECCIANDOLO","SUONACARIO",2,"Incorrect",111
1,73,"scarpa giacca","SICCOTTELLA","GIUBBIATURA",1,"Incorrect",15
1,74,"roccia scarpa","CAMATINCIA","MURANTURIA",1,"Incorrect",75
1,75,"camera finestra","APRIATTOLA","CLICCATTOLA",1,"Correct",74
1,76,"roccia finestra","MURANTURIA","MURICATTOLA",2,"Correct",0
1,77,"torta roccia","POZZONELLA","GHIANCIOLA",1,"Incorrect",16
1,78,"scarpa camera","LAVESCIA","RETTIELLIA",2,"Correct",17
1,79,"martello violino","SUONACARIO","FIOCOSCRIO",1,"Correct",16
1,80,"violino vaso","ARMORICELLO","SRADINELLO",1,"Correct",32
1,81,"tenda finestra","TERNOTELLA","SICCOTTELA",1,"Correct",16
2,1,"vaso martello","SUONANNARIO","ROCCERIOLO",1,"Incorrect",4952
2,2,"vaso fazzoletto","SEDINOCCIO","FIORINELLO",2,"Correct",6529
2,3,"tavolo fazzoletto","NARAMPICOLO","SEDINOCCIO",1,"Incorrect",5181
2,4,"scarpa roccia","MURANTURIA","CAMATINCIA",1,"Correct",6071
2,5,"martello specchio","SPALENTOLO","SDRANGOLIO",1,"Correct",5201
2,6,"giacca camera","GIUBBIATINA","SICCOTTELLA",1,"Correct",2182
2,7,"albero violino","MUSTONCELLO","SPURIALLIO",2,"Incorrect",3197
2,8,"vaso prato","SUONANELLO","FIONCOLIOLO",1,"Incorrect",4907
2,9,"finestra roccia","SDRAIATURA","MURICATTOLA",1,"Incorrect",6644
2,10,"violino martello","FIOTTINO","SUONACARIO",2,"Correct",4557
2,11,"tenda roccia","IMMONTURA","CLIETTONDOLA",1,"Correct",3775
2,12,"giacca insalata","GIUBBIATINA","VESTINETTA",1,"Incorrect",5726
2,13,"camera insalata","COSTRELLINA","COTTOLIOLIA",2,"Correct",5907
2,14,"giacca piazza","CAMATINCIA","GIUBBIATURA",2,"Incorrect",3017
2,15,"albero libro","NARAMPICOLO","SDRAIOLIO",1,"Correct",3713
2,16,"finestra piazza","GIAPRIATOLA","CAPPETTELLA",1,"Correct",2300
2,17,"torta insalata","FRICOTTELA","IDRATOLANA",1,"Correct",4132
2,18,"bambola torta","CENSARELLINA","IDRACIOLA",2,"Incorrect",8417
2,19,"insalata finestra","COTTOLIOLIA","CLIETTOLA",1,"Incorrect",5198
2,20,"vaso albero","FIORICELLO","FIORARIOLO",2,"Incorrect",5184
2,21,"prato fazzoletto","FIOTTINO","CIGOLITELLO",1,"Correct",5237
2,22,"finestra tenda","TERNOTELLA","GIUBBITINA",1,"Correct",4798
2,23,"acqua torta","POZZETTERIA","GOCCOTTELLA",1,"Incorrect",4213
2,24,"tenda piazza","BANDINAIA","ARMONTURIA",1,"Correct",4368
2,25,"tavolo specchio","SDRANGOLIO","ARMORICELLO",1,"Correct",4032
2,26,"tavolo prato","SDRAIARELLO","CERBOSCELLO",1,"Correct",1755
2,27,"torta tenda","ERRACIOLINA","SICCOTTELLA",1,"Incorrect",1771
2,28,"libro martello","PICATTOLO","ROCCERIOLO",2,"Incorrect",1976
2,29,"tavolo violino","RABELLIMENTO","SUONCOLLO",2,"Correct",2925
2,30,"finestra giacca","CLIETTONDOLA","CLIETTOLA",1,"Correct",2099
2,31,"camera torta","SICCOTTELA","CLICCATTOLA",2,"Incorrect",1624
2,32,"vaso libro","VISUONDOLO","FIORISITOLO",2,"Correct",1614
2,33,"giacca tenda","GOCCOTTELLA","GIUBBITINA",2,"Correct",2749
2,34,"prato violino","SUONANELLO","SUONCOLLO",1,"Correct",2384
2,35,"tramonto albero","SPALENTOLO","ROSCESCOLO",2,"Correct",1629
2,36,"albero tavolo","PARTONCELLO","FIORICELLO",2,"Incorrect",3037
2,37,"piazza roccia","PALCAVERIA","APRIATTOLA",1,"Correct",3698
2,38,"camera scarpa","CINCOTTELLA","RETTIELLIA",1,"Incorrect",4924
2,39,"roccia acqua","IDRACIOLA","BANDINAIA",2,"Incorrect",4686
2,40,"torta roccia","GHIANCIOLA","POZZANELLA",1,"Correct",3818
2,41,"albero specchio","SRADINELLO","FIORECCIANDOLO",2,"Incorrect",2514
2,42,"scarpa finestra","BANCOTTINA","CLICCATTOLA",1,"Incorrect",1661
2,43,"piazza torta","PANCOTTELLA","CINCOTTELLA",2,"Correct",1833
2,44,"specchio prato","SPURIALLIO","PARTONCELLO",2,"Incorrect",1615
2,45,"roccia bambola","COSTRELLINA","MURICATTOLA",2,"Incorrect",2451
2,46,"insalata piazza","VESTINETTA","BANCOTTINA",2,"Correct",2102
2,47,"insalata acqua","IDRANGIA","TERNOTELLA",2,"Incorrect",1505
2,48,"camera acqua","FRIGLIANZA","IDRANDINA",2,"Correct",1791
2,49,"scarpa acqua","VESTOLETTA","IDRATOLANA",2,"Correct",1819
2,50,"muro specchio","CROIETTOLO","SDRAIARELLO",2,"Incorrect",1938
2,51,"camera roccia","ARMONTURIA","GIAPRIATOLA",2,"Incorrect",1923
2,52,"violino libro","SUONISCRIO","CROIETTOLO",1,"Correct",1950
2,53,"tenda camera","POZZONELLA","SDRANZIA",2,"Correct",2093
2,54,"albero prato","FIONCOLIOLO","CERBOSCELLO",1,"Incorrect",1645
2,55,"insalata tenda","FRIGLIANZA","IDRANGIA",2,"Incorrect",2727
2,56,"camera finestra","APRIATTOLA","FRICOTTELA",1,"Correct",2557
2,57,"violino tramonto","LUMERSTERSIMO","SUONANNARIO",2,"Correct",5812
2,58,"vaso tavolo","SGUARELLIO","GRAMINELLO",2,"Correct",6629
2,59,"violino vaso","ARMORICELLO","ROSCESCOLO",2,"Incorrect",1375
2,60,"piazza acqua","LAVESCIA","POZZETTERIA",2,"Correct",5581
2,61,"bambola giacca","RETTIELLIA","VESTOLETTA",2,"Correct",3088
2,62,"tramonto libro","MUSTONCELLO","LUMERSTERSIMO",2,"Correct",3483
2,63,"acqua finestra","SICCOTTELA","POZZONELLA",2,"Correct",2902
2,64,"torta finestra","IDRANDINA","POLIETTOLA",2,"Correct",4354
2,65,"violino specchio","VISUONDOLO","RAPALINCIO",1,"Correct",1790
2,66,"giacca scarpa","GHIANCIOLA","GIUBBIATURA",1,"Incorrect",1949
2,67,"fazzoletto specchio","SGUARELLIO","GRAMINELLO",1,"Correct",2103
2,68,"fazzoletto albero","SUONISCRIO","FIORECCIANDOLO",2,"Correct",6724
2,69,"tramonto tavolo","SUONACARIO","SDRAIOLIO",2,"Correct",3056
2,70,"scarpa torta","CENSARELLINA","PANCOTTELLA",1,"Incorrect",2515
2,71,"roccia insalata","ERRACIOLINA","PALCAVERIA",1,"Correct",1437
2,72,"martello prato","FIOCOSCRIO","RAPALINCIO",1,"Incorrect",1377
2,73,"libro specchio","RABELLIMENTO","PICATTOLO",1,"Correct",1560
2,74,"giacca acqua","IMMONTURA","LAVESCIA",1,"Incorrect",1282
2,75,"tavolo muro","FIORINELLO","CIGOLITELLO",1,"Incorrect",1373
2,76,"acqua tenda","POZZANELLA","SENDINAIA",1,"Correct",1291
2,77,"piazza camera","POLIETTOLA","SENDINAIA",1,"Incorrect",1717
2,78,"vaso tramonto","FIORARIOLO","SRADINELLO",2,"Incorrect",5001
2,79,"prato libro","FIORISITOLO","FIOCOSCRIO",1,"Incorrect",3235
2,80,"giacca torta","CAPPETTELLA","SDRANZIA",1,"Correct",1731
2,81,"tenda scarpa","MURANTURIA","SDRAIATURA",2,"Correct",1468
3,1,"prato violino","SUONANELLO","ROSCESCOLO",2,"Incorrect",14656
3,2,"fazzoletto vaso","SDRAIOLIO","FIORINELLO",2,"Correct",9409
3,3,"piazza roccia","PALCAVERIA","POZZETTERIA",2,"Incorrect",6650
3,4,"giacca camera","GIUBBIATINA","PALCAVERIA",1,"Correct",4137
3,5,"martello vaso","SRADINELLO","ROCCERIOLO",2,"Correct",7432
3,6,"giacca insalata","VESTINETTA","IDRANDINA",2,"Incorrect",7471
3,7,"camera piazza","GOCCOTTELLA","SENDINAIA",2,"Correct",7164
3,8,"albero tramonto","SDRAIARELLO","ROSCESCOLO",2,"Correct",5248
3,9,"vaso albero","FIORICELLO","LUMERSTERSIMO",1,"Correct",3688
3,10,"muro specchio","SDRANGOLIO","CROIETTOLO",1,"Incorrect",5800
3,11,"insalata camera","COTTOLIOLIA","CLICCATTOLA",2,"Incorrect",6431
3,12,"prato vaso","FIONCOLIOLO","SUONCOLLO",1,"Correct",3690
3,13,"camera finestra","APRIATTOLA","POLIETTOLA",1,"Correct",3852
3,14,"bambola giacca","ERRACIOLINA","VESTOLETTA",2,"Correct",3571
3,15,"vaso tramonto","FIORARIOLO","SUONACARIO",1,"Correct",2988
3,16,"acqua roccia","IDRACIOLA","CAPPETTELLA",1,"Correct",4130
3,17,"tenda piazza","FRICOTTELA","BANDINAIA",2,"Correct",4375
3,18,"finestra giacca","MURICATTOLA","CLIETTONDOLA",1,"Incorrect",5093
3,19,"tramonto violino","ROCCERIOLO","SUONANNARIO",2,"Correct",6427
3,20,"albero prato","CERBOSCELLO","SUONISCRIO",1,"Correct",4653
3,21,"bambola roccia","COSTRELLINA","CENSARELLINA",2,"Incorrect",7343
3,22,"scarpa acqua","IDRATOLANA","GHIANCIOLA",1,"Correct",4034
3,23,"piazza giacca","CAMATINCIA","IDRATOLANA",1,"Correct",4811
3,24,"camera roccia","VESTINETTA","ARMONTURIA",1,"Incorrect",3749
3,25,"scarpa roccia","SDRANZIA","MURANTURIA",2,"Correct",3842
3,26,"torta camera","GIUBBIATURA","SICCOTTELA",2,"Correct",3833
3,27,"albero violino","MUSTONCELLO","FIOCOSCRIO",1,"Correct",5351
3,28,"tramonto libro","LUMERSTERSIMO","SUONANELLO",1,"Correct",4025
3,29,"giacca tenda","VESTOLETTA","GIUBBITINA",2,"Correct",4908
3,30,"tavolo violino","SGUARELLIO","SUONCOLLO",2,"Correct",2215
3,31,"fazzoletto tavolo","CERBOSCELLO","SEDINOCCIO",2,"Correct",5125
3,32,"prato libro","RAPALINCIO","FIOCOSCRIO",2,"Correct",3533
3,33,"giacca scarpa","GIUBBIATURA","IDRANGIA",1,"Correct",2981
3,34,"finestra roccia","SENDINAIA","MURICATTOLA",2,"Correct",2523
3,35,"finestra insalata","GIUBBITINA","CLIETTOLA",2,"Correct",3119
3,36,"acqua insalata","IDRANGIA","BANCOTTINA",1,"Correct",2622
3,37,"piazza finestra","APRIATTOLA","GIAPRIATOLA",1,"Incorrect",3902
3,38,"insalata tenda","FRIGLIANZA","SICCOTTELLA",1,"Correct",5274
3,39,"tavolo muro","FIORINELLO","CIGOLITELLO",2,"Correct",10054
3,40,"piazza torta","CINCOTTELLA","COSTRELLINA",1,"Correct",6963
3,41,"vaso libro","SPALENTOLO","FIORISITOLO",2,"Correct",1972
3,42,"scarpa tenda","ARMONTURIA","SDRAIATURA",1,"Incorrect",2850
3,43,"specchio violino","VISUONDOLO","PICATTOLO",1,"Correct",2992
3,44,"roccia torta","GHIANCIOLA","FRIGLIANZA",2,"Incorrect",2204
3,45,"tenda finestra","COTTOLIOLIA","TERNOTELLA",2,"Correct",6796
3,46,"tavolo specchio","SDRANGOLIO","CROIETTOLO",2,"Incorrect",4128
3,47,"roccia tenda","CINCOTTELLA","IMMONTURA",2,"Correct",4223
3,48,"violino libro","SUONISCRIO","FIONCOLIOLO",1,"Correct",2042
3,49,"vaso violino","FIORECCIANDOLO","ARMORICELLO",2,"Correct",4088
3,50,"libro specchio","RABELLIMENTO","GRAMINELLO",1,"Correct",3557
3,51,"tramonto tavolo","FIORISITOLO","SDRAIOLIO",1,"Incorrect",2575
3,52,"giacca acqua","LAVESCIA","POZZONELLA",1,"Correct",4540
3,53,"bambola torta","TERNOTELLA","CENSARELLINA",2,"Correct",2563
3,54,"torta finestra","POZZANELLA","POLIETTOLA",1,"Incorrect",3013
3,55,"prato tavolo","SDRAIARELLO","VISUONDOLO",1,"Correct",3883
3,56,"tenda camera","PANCOTTELLA","SDRANZIA",2,"Correct",2508
3,57,"camera acqua","MURANTURIA","IDRANDINA",2,"Correct",2362
3,58,"piazza insalata","BANCOTTINA","SICCOTTELA",2,"Incorrect",4954
3,59,"fazzoletto specchio","SGUARELLIO","SEDINOCCIO",1,"Correct",3019
3,60,"acqua piazza","POZZETTERIA","BANDINAIA",1,"Correct",1850
3,61,"martello libro","MUSTONCELLO","PICATTOLO",1,"Incorrect",4339
3,62,"insalata roccia","ERRACIOLINA","CLIETTOLA",1,"Correct",2818
3,63,"scarpa torta","LAVESCIA","PANCOTTELLA",2,"Correct",3607
3,64,"albero specchio","FIORARIOLO","SRADINELLO",2,"Correct",3860
3,65,"insalata torta","FRICOTTELA","SDRAIATURA",1,"Correct",3227
3,66,"camera scarpa","CLIETTONDOLA","RETTIELLIA",1,"Incorrect",3153
3,67,"fazzoletto albero","FIORECCIANDOLO","SPURIALLIO",1,"Correct",2759
3,68,"specchio prato","FIOTTINO","SPURIALLIO",1,"Incorrect",2841
3,69,"acqua tenda","IDRACIOLA","POZZANELLA",1,"Incorrect",1734
3,70,"scarpa finestra","RETTIELLIA","CLICCATTOLA",2,"Correct",2096
3,71,"vaso tavolo","GRAMINELLO","RABELLIMENTO",2,"Incorrect",2964
3,72,"martello violino","CIGOLITELLO","SUONACARIO",2,"Correct",2532
3,73,"finestra acqua","IMMONTURA","POZZONELLA",2,"Correct",2151
3,74,"libro albero","ARMORICELLO","NARAMPICOLO",1,"Incorrect",4033
3,75,"martello specchio","PARTONCELLO","SPALENTOLO",2,"Correct",2412
3,76,"prato martello","SUONANNARIO","RAPALINCIO",2,"Correct",2686
3,77,"fazzoletto prato","FIORICELLO","FIOTTINO",1,"Incorrect",2637
3,78,"torta acqua","CAMATINCIA","GOCCOTTELLA",2,"Correct",2100
3,79,"tenda torta","SICCOTTELLA","GIAPRIATOLA",1,"Correct",2292
3,80,"tavolo albero","PARTONCELLO","NARAMPICOLO",1,"Correct",2218
3,81,"giacca torta","CAPPETTELLA","GIUBBIATINA",2,"Incorrect",1523
4,1,"libro specchio","RABELLIMENTO","PICATTOLO",1,"Correct",7099
4,2,"libro vaso","FIORISITOLO","SEDINOCCIO",1,"Correct",4037
4,3,"camera piazza","GIUBBITINA","SENDINAIA",1,"Incorrect",3987
4,4,"scarpa camera","COTTOLIOLIA","RETTIELLIA",1,"Incorrect",7282
4,5,"violino vaso","ARMORICELLO","CIGOLITELLO",1,"Correct",3970
4,6,"tramonto tavolo","SDRAIOLIO","RAPALINCIO",2,"Incorrect",3417
4,7,"albero specchio","ARMORICELLO","SRADINELLO",2,"Correct",3623
4,8,"finestra torta","ARMONTURIA","POLIETTOLA",2,"Correct",2387
4,9,"prato martello","NARAMPICOLO","RAPALINCIO",1,"Incorrect",5410
4,10,"camera giacca","GIUBBIATINA","CLIETTONDOLA",1,"Correct",3177
4,11,"fazzoletto vaso","SUONANNARIO","FIORINELLO",2,"Correct",1985
4,12,"giacca piazza","CAMATINCIA","GHIANCIOLA",1,"Correct",6817
4,13,"libro martello","FIORARIOLO","PICATTOLO",2,"Correct",2684
4,14,"scarpa finestra","CLICCATTOLA","CAMATINCIA",1,"Correct",5649
4,15,"camera tenda","SDRANZIA","IDRANDINA",1,"Correct",4577
4,16,"acqua tenda","POZZANELLA","IDRANGIA",2,"Incorrect",2521
4,17,"giacca scarpa","GIUBBIATURA","IDRATOLANA",1,"Correct",4540
4,18,"vaso martello","SPURIALLIO","ROCCERIOLO",1,"Incorrect",4076
4,19,"tavolo albero","PARTONCELLO","LUMERSTERSIMO",1,"Correct",3030
4,20,"vaso albero","SGUARELLIO","FIORICELLO",2,"Correct",3333
4,21,"tramonto libro","LUMERSTERSIMO","SUONACARIO",1,"Correct",3910
4,22,"finestra piazza","POLIETTOLA","GIAPRIATOLA",2,"Correct",3111
4,23,"scarpa tenda","VESTINETTA","SDRAIATURA",1,"Incorrect",2241
4,24,"roccia acqua","RETTIELLIA","IDRACIOLA",2,"Correct",1952
4,25,"insalata acqua","GIAPRIATOLA","IDRANGIA",2,"Correct",5553
4,26,"bambola roccia","COSTRELLINA","POZZANELLA",1,"Correct",5113
4,27,"violino tavolo","CROIETTOLO","SUONCOLLO",2,"Correct",5897
4,28,"giacca finestra","CLIETTONDOLA","FRICOTTELA",1,"Correct",7099
4,29,"scarpa acqua","GOCCOTTELLA","IDRATOLANA",2,"Correct",4963
4,30,"bambola giacca","VESTOLETTA","SICCOTTELA",1,"Correct",3049
4,31,"acqua finestra","POZZONELLA","SDRAIATURA",1,"Correct",2126
4,32,"torta acqua","CENSARELLINA","GOCCOTTELLA",2,"Correct",3120
4,33,"giacca acqua","LAVESCIA","GIUBBIATURA",1,"Correct",2834
4,34,"camera acqua","IDRANDINA","ERRACIOLINA",1,"Correct",2600
4,35,"insalata camera","COTTOLIOLIA","POZZONELLA",1,"Correct",3312
4,36,"violino libro","SUONISCRIO","FIORISITOLO",1,"Correct",5417
4,37,"piazza acqua","POZZETTERIA","VESTOLETTA",1,"Correct",1594
4,38,"piazza insalata","SDRANZIA","BANCOTTINA",1,"Incorrect",3292
4,39,"tenda roccia","CLIETTOLA","IMMONTURA",1,"Incorrect",4673
4,40,"fazzoletto albero","FIORICELLO","FIORECCIANDOLO",2,"Correct",4228
4,41,"scarpa roccia","MURANTURIA","TERNOTELLA",2,"Incorrect",2611
4,42,"bambola torta","CENSARELLINA","PALCAVERIA",1,"Correct",3487
4,43,"prato libro","SDRAIOLIO","FIOCOSCRIO",1,"Incorrect",5675
4,44,"torta scarpa","MURANTURIA","PANCOTTELLA",2,"Correct",5348
4,45,"tenda torta","SICCOTTELLA","SENDINAIA",2,"Incorrect",2779
4,46,"finestra insalata","CLIETTOLA","MURICATTOLA",1,"Correct",3226
4,47,"tavolo muro","SDRAIARELLO","CIGOLITELLO",2,"Correct",7592
4,48,"libro albero","FIORINELLO","NARAMPICOLO",1,"Incorrect",5211
4,49,"fazzoletto specchio","CERBOSCELLO","SGUARELLIO",1,"Incorrect",6464
4,50,"albero tramonto","ROSCESCOLO","MUSTONCELLO",1,"Correct",6346
4,51,"roccia finestra","MURICATTOLA","CAPPETTELLA",2,"Incorrect",3659
4,52,"insalata torta","FRICOTTELA","IMMONTURA",1,"Correct",5075
4,53,"torta piazza","CINCOTTELLA","CLICCATTOLA",2,"Incorrect",4405
4,54,"insalata giacca","VESTINETTA","GIUBBIATINA",2,"Incorrect",2555
4,55,"prato specchio","FIONCOLIOLO","SPURIALLIO",2,"Correct",2676
4,56,"tavolo specchio","ROSCESCOLO","SDRANGOLIO",1,"Incorrect",1958
4,57,"fazzoletto prato","VISUONDOLO","FIOTTINO",2,"Correct",1849
4,58,"violino albero","SUONCOLLO","MUSTONCELLO",1,"Incorrect",3167
4,59,"tenda finestra","TERNOTELLA","PANCOTTELLA",2,"Incorrect",4072
4,60,"tramonto vaso","FIORARIOLO","PARTONCELLO",1,"Correct",1994
4,61,"finestra camera","BANDINAIA","APRIATTOLA",2,"Correct",14410
4,62,"roccia torta","GHIANCIOLA","CINCOTTELLA",2,"Incorrect",4456
4,63,"torta camera","APRIATTOLA","SICCOTTELA",1,"Incorrect",2483
4,64,"roccia piazza","PALCAVERIA","FRIGLIANZA",2,"Incorrect",2320
4,65,"camera roccia","ARMONTURIA","SICCOTTELLA",2,"Incorrect",3449
4,66,"prato vaso","FIOCOSCRIO","FIONCOLIOLO",1,"Incorrect",1655
4,67,"violino prato","SUONANELLO","ROCCERIOLO",1,"Correct",8412
4,68,"muro specchio","SDRANGOLIO","CROIETTOLO",1,"Incorrect",3678
4,69,"torta giacca","CAPPETTELLA","BANCOTTINA",1,"Correct",2713
4,70,"insalata tenda","FRIGLIANZA","POZZETTERIA",1,"Correct",3772
4,71,"tavolo prato","SDRAIARELLO","SUONANELLO",1,"Correct",3596
4,72,"tenda giacca","GIUBBITINA","COSTRELLINA",1,"Correct",1386
4,73,"violino tramonto","SUONANNARIO","SPALENTOLO",1,"Correct",1904
4,74,"violino martello","SUONACARIO","FIORECCIANDOLO",1,"Correct",2685
4,75,"roccia insalata","ERRACIOLINA","IDRACIOLA",1,"Correct",3914
4,76,"specchio violino","VISUONDOLO","SRADINELLO",1,"Correct",2027
4,77,"piazza tenda","LAVESCIA","BANDINAIA",2,"Correct",4210
4,78,"fazzoletto tavolo","SEDINOCCIO","SUONISCRIO",1,"Correct",2446
4,79,"vaso tavolo","RABELLIMENTO","GRAMINELLO",1,"Incorrect",2363
4,80,"martello specchio","FIOTTINO","SPALENTOLO",2,"Correct",3221
4,81,"albero prato","CERBOSCELLO","GRAMINELLO",1,"Correct",2916
5,1,"roccia camera","ARMONTURIA","IMMONTURA",2,"Incorrect",8950
5,2,"prato tavolo","SDRAIARELLO","SPURIALLIO",2,"Incorrect",4132
5,3,"piazza giacca","SICCOTTELA","CAMATINCIA",2,"Correct",4525
5,4,"piazza insalata","BANCOTTINA","GIUBBITINA",1,"Correct",5829
5,5,"roccia tenda","IMMONTURA","CLIETTOLA",1,"Correct",2677
5,6,"torta giacca","CAPPETTELLA","ARMONTURIA",2,"Incorrect",3668
5,7,"violino tavolo","SUONCOLLO","SUONANNARIO",1,"Correct",3159
5,8,"finestra giacca","CLIETTONDOLA","FRICOTTELA",1,"Correct",4716
5,9,"acqua tenda","POZZANELLA","IDRANGIA",1,"Correct",1987
5,10,"vaso albero","CERBOSCELLO","FIORICELLO",2,"Correct",2981
5,11,"specchio fazzoletto","ROSCESCOLO","SGUARELLIO",2,"Correct",2991
5,12,"finestra insalata","CLIETTOLA","LAVESCIA",2,"Incorrect",1981
5,13,"torta piazza","CINCOTTELLA","ERRACIOLINA",2,"Incorrect",2075
5,14,"insalata giacca","VESTINETTA","GOCCOTTELLA",1,"Correct",1818
5,15,"acqua giacca","LAVESCIA","PANCOTTELLA",2,"Incorrect",3509
5,16,"tenda piazza","BANDINAIA","POZZONELLA",1,"Correct",4548
